業務区分ID,業務区分,,業務の詳細,
0000,00,"全業務
（共通）",,
0100,01,【機関の】研究データ管理戦略の策定,,
0200,02,【機関の】データポリシー作成・更新,,
0300,03,【機関の】研究データ管理支援サービスの設計,,
0400,04,外部資金（研究助成機関）の情報収集,,
0500,05,データマネジメントプラン（申請書類）の作成支援,,
0601,06,（資金獲得後の）体制構築、契約締結支援,01,研究データ管理体制の構築支援
0602,,,02,契約締結支援
0701,07,研究データの安全・確実な保存の支援,01,情報セキュリティ対策の実施支援
0702,,,02,保存場所（ストレージ）確保のための支援
0703,,,03,デバイスのセキュリティ確保のための支援
0704,,,04,バックアップ作成支援
0705,,,05,フォーマット変換支援
0706,,,06,ラボノートの活用支援
0801,08,研究データの検索・発見・収集支援,01,研究データの検索支援
0802,,,02,研究データの取得・購入支援
0803,,,03,利用条件の確認・注意喚起
0901,09,研究データ分析支援,01,研究データの前処理支援
0902,,,02,研究データの分析支援
1001,10,加工・分析中の研究データ管理支援,01,研究データファイル名・項目名の管理（組織化）支援
1002,,,02,バージョン管理支援
1003,,,03,研究データ文書の作成支援
1100,11,研究データの引用支援,,
1200,12,データマネジメントプランの更新支援,,
1301,13,研究データの公開方針の決定支援,01,ステークホルダーとポリシーの把握
1302,,,02,オープン・クローズ戦略の立案
1303,,,03,公開区分と猶予期間の決定
1401,14,研究データの保存支援,01,保存先リポジトリの選択支援
1402,,,02,研究データの選択・審査・フォーマット変換支援
1403,,,03,メタデータの付与支援
1404,,,04,識別子取得・付与支援
1405,,,05,ライセンス付与支援
1501,15,研究データを含む論文の出版支援,01,情報収集と助言
1502,,,02,出版先の選択と決定支援
1503,,,03,論文の普及・宣伝（プロモーション）支援
1601,16,教育・研修,01,"大学院生向け
インストラクション"
1602,,,02,"研究者向け
インストラクション"
1603,,,03,"支援者向け
インストラクション"
1604,,,04,データ分析トレーニングコースの提供
1701,17,アドボカシー,01,情報提供
1801,18,研究データ管理に係る情報発信,01,研究データ管理ポータルサイトの設置・運営
1901,19,コンサルテーション支援,01,相談窓口の設置・体制づくり
1902,,,02,コンサルテーションサービスの提供
2001,20,研究データ管理基盤の運営・管理,01,リポジトリの管理・運営
2002,,,02,研究データインフラの管理・運営
