略称,職名（一例）,説明
経営者,学長、理事、執行部、部局長,研究機関やその部門の長、理事として経営を担う責任者
RDM,"RDMコーディネーター
（マネージャ）","全学または研究プロジェクトのRDMに関わる業務
（主に調整や統括的マネジメント）を専門的に行う担当者"
図書,図書系事務職員,機関リポジトリなど成果発信に関わる業務の担当者
IT,情報基盤系技術教職員,情報基盤（インフラ・ネットワーク）に関わる業務を専門的に行う担当者
URA,"リサーチアドミニストレーター
（URA）",研究推進に関わる業務を専門的に行う担当者
研推,研究推進系事務職員,研究推進に関わる業務の担当者
教務,教務系事務職員,教務系のうち、学生の論文の受理に関わる業務の担当者
IR,IR担当職員（IRer）,IR（機関研究）を専門的に行う担当者
産官学,"産官学コーディネーター、
産官学担当職員",産官学連携、社会連携に関わる業務を専門的に行う担当者
知財,知的財産担当職員,特許、研究成果（データベース含む）の著作権に関わる業務を専門的に行う担当者
契約,契約担当職員,共同研究時の契約を専門的に行う担当者
秘書,研究室秘書、事務補佐員,研究室等の事務全般の支援を担当する者
実験,実験・測定装置担当職員,特定の装置等による実験や測定を実施、支援を専門的に行う担当者
DS,"（データ解析・分析に関わる）
専門職員・技術補佐員等",データサイエンスの研究者（データサイエンティスト）、技術者（データエンジニア）
